freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db,snr
2412,-95,53,81,373,255,10,57,242.949371
2412,-95,52,81,373,0,12,56,-20.606979
2412,-95,64,81,373,254,11,57,233.183380
2412,-95,39,81,373,255,11,56,241.335770
2412,-95,50,81,373,254,14,56,240.396729
2412,-95,26,81,373,0,11,56,-20.499451
2412,-95,48,81,373,255,14,57,233.369507
2412,-95,50,81,373,255,12,56,238.372406
2412,-95,44,81,373,255,10,56,235.771698
2412,-95,47,80,373,254,13,55,239.348602
2412,-95,62,81,373,255,13,57,238.748566
2412,-95,46,81,373,254,11,56,233.559021
2412,-95,49,81,373,255,10,56,236.762650
2412,-95,61,81,373,0,12,56,-15.520966
2412,-95,69,81,373,255,10,56,244.393005
2412,-95,44,81,373,255,12,56,240.640930
2412,-95,51,81,373,0,13,57,-9.961220
2412,-95,42,81,373,0,12,56,-10.176254
2412,-95,41,81,373,255,12,57,240.536087
2412,-95,56,81,373,255,12,56,238.110367
2412,-95,45,81,373,0,10,56,-22.920097
2412,-95,63,81,373,255,12,57,240.025513
2412,-95,27,81,373,1,11,56,-26.381859
2412,-95,41,81,373,255,11,56,242.491364
2412,-95,30,81,373,254,11,55,-inf
2412,-95,47,81,373,254,12,57,226.311768
2412,-95,61,81,373,255,13,57,242.237091
2412,-95,46,81,373,255,10,55,240.745850
2412,-95,56,81,373,255,12,57,231.431244
2412,-95,41,81,373,254,13,57,232.169083
2412,-95,37,81,373,255,11,57,238.101654
2412,-95,53,81,373,254,10,57,236.196411
2412,-95,52,81,373,255,12,56,240.613510
2412,-95,39,81,373,255,11,56,241.635406
2412,-95,49,81,373,255,13,57,243.944397
2412,-95,35,81,373,254,12,55,239.586975
2412,-95,52,81,373,255,11,56,222.086304
2412,-95,46,81,373,255,14,57,226.726303
2412,-95,55,81,373,255,13,55,240.972015
2412,-95,46,81,373,0,12,55,-15.246475
2412,-95,30,81,373,255,12,57,237.662949
2412,-95,42,81,373,0,12,56,-18.099335
2412,-95,43,81,373,254,12,57,225.933105
2412,-95,33,81,373,255,12,55,241.749817
2412,-95,60,81,373,255,13,57,242.530151
2412,-95,43,81,373,255,12,56,233.745178
2412,-95,54,81,373,255,13,57,243.899948
2412,-95,33,81,373,253,12,55,240.326843
