freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db,snr
2412,-95,52,74,379,8,12,48,-15.820175
2412,-95,58,74,380,6,9,49,-11.708519
2412,-95,60,74,379,5,9,49,-12.481880
2412,-95,53,69,385,6,11,45,-7.424225
2412,-95,50,74,379,5,10,48,-18.463531
2412,-95,45,74,379,5,9,48,-7.552727
2412,-95,58,74,379,8,13,49,-9.835464
2412,-95,54,74,379,7,11,50,-12.294189
2412,-95,54,74,379,4,10,49,-14.061798
2412,-95,50,74,379,7,11,49,-12.138138
2412,-95,49,74,379,7,11,48,-15.900345
2412,-95,41,74,379,6,9,48,-12.044800
2412,-95,48,74,379,6,13,49,-18.885506
2412,-95,49,74,379,7,12,49,-11.920944
2412,-95,51,74,379,6,11,49,-17.961990
2412,-95,51,74,379,6,12,49,-inf
2412,-95,61,74,379,6,9,49,-inf
2412,-95,50,74,379,7,11,49,-inf
2412,-95,60,74,379,7,12,48,-9.857422
2412,-95,53,74,379,5,10,49,-13.543060
2412,-95,48,74,379,6,9,49,-inf
2412,-95,53,74,379,6,12,50,-12.822403
2412,-95,55,74,379,4,10,49,-15.357590
2412,-95,47,74,379,8,9,48,-10.178955
2412,-95,56,74,379,6,12,49,-12.276924
2412,-95,60,74,379,5,11,49,-9.944641
2412,-95,63,74,379,5,10,48,-18.364594
2412,-95,53,74,379,6,12,48,-11.160034
2412,-95,57,74,379,5,9,49,-13.481888
2412,-95,52,74,379,6,10,49,-12.793823
2412,-95,46,74,379,7,12,48,-10.906372
2412,-95,55,74,379,7,9,48,-7.349236
2412,-95,53,74,379,6,10,48,-17.820175
2412,-95,43,74,379,6,12,48,-inf
2412,-95,42,74,379,5,9,48,-18.384567
2412,-95,44,74,379,7,9,49,-17.232460
2412,-95,40,74,379,6,10,49,-18.785660
2412,-95,55,74,379,5,9,49,-6.510635
2412,-95,51,74,379,7,12,49,-17.265114
2412,-95,62,74,379,5,13,49,-9.522972
2412,-95,53,74,379,7,10,48,-inf
2412,-95,54,74,379,8,11,49,-16.281349
2412,-95,56,74,379,5,12,49,-inf
2412,-95,53,74,379,6,10,50,-19.998833
2412,-95,57,74,379,7,12,50,-4.058502
2412,-95,54,74,379,6,11,48,-17.891663
2412,-95,50,74,379,6,9,49,-9.563019
2412,-95,54,74,379,6,13,49,-12.543060
2412,-95,50,74,379,7,11,50,-8.111404
2412,-95,53,74,379,6,9,49,-8.755096
2412,-95,58,74,379,6,11,48,-11.054359
2412,-95,56,74,379,6,11,48,-18.313637
