freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db,snr
2412,-102,64,76,385,9,4,57,-2.260292
2412,-102,57,76,385,8,6,57,-11.559761
2412,-102,60,79,382,9,11,59,-4.789528
2412,-102,91,80,380,8,10,60,-10.251129
2412,-102,59,79,382,9,11,59,-9.631371
2412,-102,43,78,382,9,12,58,-26.979141
2412,-102,31,78,382,10,12,58,-9.237045
2412,-102,68,79,382,8,11,59,-17.799103
2412,-102,36,78,383,9,13,58,-3.422775
2412,-102,77,79,381,9,11,60,-4.148026
2412,-102,43,77,384,10,11,58,-0.760605
2412,-102,48,78,382,8,12,59,-10.179993
2412,-102,39,79,382,9,10,60,-8.357559
2412,-102,41,76,384,10,10,56,-9.253120
2412,-102,121,65,396,17,7,54,-21.755821
2412,-102,47,79,381,7,12,59,-12.513771
2412,-102,57,74,386,11,5,56,-22.380577
2412,-102,70,75,385,10,3,55,-1.978317
2412,-102,56,79,381,7,10,59,-8.384308
2412,-102,52,79,382,7,9,59,-16.877235
2412,-102,45,78,382,9,10,59,-26.287872
2412,-102,38,79,382,8,11,59,-14.733253
2412,-102,52,78,382,10,10,59,-10.541443
2412,-102,49,79,382,9,9,59,-7.664246
2412,-102,70,78,382,9,12,59,-5.824722
2412,-102,36,77,383,11,11,58,-11.705338
2412,-102,64,78,383,9,12,59,-9.934555
2412,-102,52,78,383,11,13,59,-13.279327
2412,-102,31,78,382,9,13,59,-9.942482
2412,-102,42,78,382,9,11,59,-9.740646
2412,-102,63,78,383,10,11,59,-11.784012
2412,-102,32,77,384,10,12,58,-9.187866
2412,-102,62,75,386,13,17,62,-4.406425
2412,-102,53,77,383,10,14,61,-14.841293
2412,-102,35,75,385,11,12,57,-7.348091
2412,-102,34,76,385,10,13,58,-5.378189
2412,-102,40,77,384,10,12,58,-6.985626
2412,-102,33,78,383,9,9,57,-7.578629
2412,-102,26,74,387,12,11,56,-2.607307
2412,-102,63,80,381,8,9,59,-14.461044
2412,-102,38,76,385,10,13,57,-10.778763
2412,-102,43,79,382,8,12,59,-4.741577
2412,-102,43,77,383,9,13,58,-16.494118
2412,-102,45,77,383,10,13,58,-6.634567
2412,-102,39,78,383,9,12,59,-3.057076
2412,-102,56,77,384,10,12,59,-5.400505
2412,-102,38,78,383,8,11,59,-10.053314
2412,-102,33,76,384,10,11,57,-14.445648
2412,-102,102,72,389,11,11,56,-16.014717
2412,-102,84,72,388,12,8,55,-12.212952
2412,-102,44,75,386,10,6,56,-0.996765
2412,-102,59,75,385,10,6,56,-13.297363
2412,-102,45,77,384,10,13,59,-6.368889
2412,-102,45,78,383,10,11,59,-7.429863
2412,-102,38,76,385,10,12,57,-9.989563
2412,-102,37,75,386,11,13,58,-7.034012
2412,-102,43,78,382,8,13,59,-11.521698
2412,-102,31,76,385,11,11,57,-7.029633
2412,-102,38,78,382,8,10,59,-6.024391
2412,-102,38,78,383,8,11,58,-27.588287
2412,-102,57,77,383,9,12,57,-6.785324
2412,-102,66,78,383,10,11,59,-8.791168
2412,-102,35,75,386,12,12,57,-8.380630
2412,-102,43,77,383,9,9,57,-5.533188
2412,-102,40,80,380,8,11,59,-22.740845
2412,-102,43,79,381,8,11,59,-14.666077
2412,-102,43,78,382,9,10,58,-6.152390
2412,-102,113,77,384,9,10,59,-29.076706
2412,-102,34,78,382,9,11,59,-8.607285
2412,-102,37,78,383,9,12,59,-10.212082
2412,-102,27,76,384,9,10,57,-8.873032
2412,-102,35,77,383,10,9,57,-12.937302
2412,-102,47,78,382,7,10,57,-5.423767
2412,-102,40,79,382,9,12,59,-15.839439
2412,-102,52,78,383,9,10,58,-5.972061
