freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db,snr
2412,-95,26,81,373,5,13,55,-17.355286
2412,-95,40,81,373,6,12,54,-14.887260
2412,-95,45,79,374,7,11,56,-21.450981
2412,-95,25,81,373,5,11,54,-inf
2412,-95,38,81,373,6,13,54,-8.173531
2412,-95,38,81,373,5,11,55,-inf
2412,-95,51,81,373,6,12,54,-19.631844
2412,-95,44,81,373,6,6,53,-10.203445
2412,-95,33,81,373,6,11,54,-25.821289
2412,-95,42,81,373,6,13,56,-13.332848
2412,-95,45,81,373,7,12,55,-13.149406
2412,-95,48,81,373,5,12,54,-14.220116
2412,-95,40,81,373,5,14,55,-18.048737
2412,-95,35,81,373,6,12,54,-16.195259
2412,-95,49,81,373,4,13,55,-14.299469
2412,-95,46,81,373,5,13,56,-13.869415
2412,-95,55,81,373,5,11,56,-8.659035
2412,-95,34,81,373,4,12,54,-15.533371
2412,-95,39,81,373,4,12,53,-16.207291
2412,-95,42,81,373,4,12,54,-21.520599
2412,-95,34,81,373,5,15,55,-17.413803
2412,-95,37,81,373,3,15,55,-11.217072
2412,-95,42,81,373,5,12,54,-16.872070
2412,-95,32,81,373,6,12,54,-15.437088
2412,-95,47,81,373,6,13,55,-20.866364
2412,-95,33,81,373,7,12,54,-10.336784
2412,-95,38,81,373,6,11,55,-8.081345
2412,-95,98,80,373,4,9,56,-14.873711
2412,-95,20,74,380,9,12,51,-7.507935
2412,-95,40,81,373,5,10,56,-18.702454
2412,-95,33,81,373,5,12,55,-11.165924
2412,-95,41,81,373,5,14,56,-6.019173
2412,-95,45,81,373,6,14,55,-16.855576
2412,-95,56,74,379,9,23,59,-18.802368
2412,-95,69,81,373,6,17,58,-12.515450
2412,-95,68,80,373,8,14,57,-16.108826
2412,-95,70,80,373,8,14,57,-17.209930
2412,-95,78,81,373,7,14,58,-9.313423
2412,-95,67,81,373,9,15,57,-21.409973
2412,-95,59,78,375,9,14,58,-21.884018
2412,-95,68,80,374,8,17,57,-14.517838
2412,-95,37,81,373,6,14,58,-9.641251
2412,-95,47,81,373,8,15,57,-25.884567
2412,-95,53,81,373,7,15,56,-16.767792
2412,-95,46,74,380,8,19,57,-10.300247
2412,-95,105,72,381,7,8,54,-21.067070
2412,-95,75,71,382,8,10,51,-19.965744
2412,-95,55,81,373,6,13,57,-14.699638
2412,-95,40,81,373,5,13,57,-10.727631
2412,-95,59,80,373,9,12,59,-1.859451
2412,-95,32,81,373,6,11,57,-5.999237
2412,-95,50,81,373,7,14,59,-8.420815
2412,-95,48,79,374,8,11,56,-5.058289
2412,-95,47,81,373,5,13,54,-17.139603
2412,-95,83,72,381,8,7,54,-14.213623
2412,-95,102,71,383,11,13,57,-20.420761
2412,-95,36,78,375,6,11,58,-13.650970
2412,-95,31,73,380,10,16,57,-3.564507
2412,-95,45,81,373,6,13,55,-12.345474
2412,-95,47,79,374,7,16,56,-0.249413
2412,-95,33,81,373,3,11,54,-16.584442
2412,-95,60,80,373,9,17,58,-9.003235
2412,-95,56,81,373,6,12,55,-11.935577
2412,-95,48,79,375,7,14,56,-0.785980
2412,-95,42,81,373,5,14,56,-7.924774
2412,-95,37,81,373,5,14,54,-16.367203
2412,-95,55,81,373,6,14,57,-5.639297
2412,-95,63,80,374,7,18,59,-7.545334
2412,-95,73,81,373,4,12,56,-16.686310
2412,-95,34,81,373,5,13,55,-17.917633
2412,-95,57,81,373,6,12,55,-26.725372
2412,-95,83,78,375,4,11,54,-16.701118
2412,-95,92,79,375,6,9,57,-25.283997
2412,-95,58,80,373,7,12,55,-18.059029
2412,-95,53,80,373,6,11,59,-9.058228
2412,-95,41,81,373,4,5,54,-16.855682
2412,-95,44,81,373,8,13,55,-6.675629
2412,-95,61,81,373,6,17,59,-8.467270
2412,-95,44,81,373,6,14,54,-7.954514
2412,-95,123,71,382,8,12,52,-22.903458
2412,-95,42,81,373,6,16,58,-3.772659
2412,-95,98,76,377,7,7,55,-inf
2412,-95,53,81,373,6,16,59,-4.606979
2412,-95,36,81,373,8,13,55,-4.084412
2412,-95,45,80,374,6,17,58,-10.205597
2412,-95,45,81,373,6,12,54,-26.504196
2412,-95,39,79,374,8,16,56,-3.961777
2412,-95,40,81,373,5,9,53,-13.783066
2412,-95,49,80,374,6,15,58,-4.053802
2412,-95,50,80,373,7,15,58,-1.472717
2412,-95,50,81,373,5,13,56,-28.533394
2412,-95,44,81,373,6,12,55,-8.506256
2412,-95,35,81,373,5,12,55,-20.649620
2412,-95,28,81,373,5,11,54,-9.287292
2412,-95,51,81,373,6,12,55,-13.068062
2412,-95,40,81,373,4,11,54,-13.106247
2412,-95,85,73,380,8,8,53,-22.216026
2412,-95,85,74,380,7,7,53,-inf
2412,-95,37,81,373,5,13,55,-12.150742
2412,-95,60,81,373,5,5,54,-15.396347
2412,-95,82,74,380,9,9,54,-17.625473
2412,-95,54,81,373,8,13,55,-14.621872
2412,-95,67,81,373,6,12,55,-14.513939
2412,-95,100,72,381,7,5,51,-23.371277
2412,-95,111,72,381,7,9,51,-23.598473
2412,-95,38,81,373,8,11,53,-4.920746
2412,-95,116,70,384,9,3,50,-27.210724
2412,-95,208,74,380,8,4,58,-25.937897
2412,-95,55,81,373,6,10,55,-16.283684
2412,-95,52,81,373,6,8,55,-19.985168
2412,-95,38,81,373,6,8,54,-7.482437
2412,-95,67,80,373,7,14,56,-18.528030
2412,-95,48,81,373,4,12,55,-18.547356
2412,-95,46,81,373,5,13,55,-15.709610
2412,-95,53,81,373,5,11,55,-17.805275
2412,-95,33,81,373,5,12,55,-11.194992
2412,-95,59,81,373,6,12,54,-10.106598
2412,-95,31,81,373,8,13,54,-13.718887
2412,-95,41,81,373,8,15,55,-10.502785
2412,-95,43,81,373,5,13,55,-13.139809
2412,-95,37,81,373,5,12,54,-7.549744
2412,-95,34,81,373,4,10,54,-21.409546
2412,-95,27,81,373,7,12,54,-14.324730
2412,-95,50,81,373,6,13,55,-9.465813
2412,-95,47,81,373,6,12,55,-17.141014
2412,-95,42,81,373,5,11,54,-8.201721
2412,-95,34,81,373,6,8,56,-10.906876
2412,-95,51,81,373,7,7,54,-9.127838
2412,-95,44,81,373,6,12,54,-10.190933
2412,-95,102,81,373,8,15,57,-13.181915
2412,-95,89,81,373,7,16,58,-16.439987
2412,-95,61,80,373,8,15,57,-7.199593
2412,-95,124,73,381,9,11,54,-28.879562
2412,-95,85,71,382,9,11,52,-16.672882
2412,-95,72,76,378,7,4,53,-12.953613
2412,-95,62,75,379,7,3,54,-21.749161
2412,-95,59,81,373,5,16,58,-20.039612
2412,-95,70,80,373,7,12,57,-19.475998
2412,-95,82,71,383,13,11,54,-22.454308
2412,-95,104,74,379,6,3,51,-23.635521
2412,-95,26,74,379,5,61,48,-9.803261
2412,-95,29,74,379,5,62,48,-19.424797
2412,-95,32,74,379,5,63,49,-13.864906
2412,-95,36,74,379,5,63,49,-7.320427
2412,-95,32,74,379,7,61,47,-9.720978
2412,-95,34,74,379,4,62,49,-inf
2412,-95,30,74,379,6,0,50,-21.611755
2412,-95,44,74,379,5,1,51,-13.864906
2412,-95,32,74,379,5,14,50,-15.578560
2412,-95,31,74,379,6,14,51,-11.222229
2412,-95,30,74,379,4,12,48,-11.357162
2412,-95,28,74,379,6,12,49,-13.030899
2412,-95,35,74,379,6,15,51,-21.881683
2412,-95,33,74,379,4,14,49,-6.906105
2412,-95,38,74,379,5,12,48,-13.662872
2412,-95,32,74,379,6,12,47,-5.613678
2412,-95,35,74,379,6,13,48,-12.228218
2412,-95,31,74,379,5,14,48,-7.141815
2412,-95,39,74,379,4,12,49,-21.118835
2412,-95,35,74,379,5,13,49,-15.211891
2412,-95,34,74,379,7,13,50,-13.578560
2412,-95,36,74,379,5,11,50,-9.707413
2412,-95,37,74,379,5,14,48,-13.435440
2412,-95,37,74,379,6,12,48,-inf
2412,-95,34,74,379,5,12,49,-8.509750
2412,-95,37,74,379,5,13,50,-12.550278
2412,-95,26,74,379,5,13,48,-13.228218
2412,-95,25,74,379,6,10,49,-inf
2412,-95,35,74,379,7,12,48,-11.372726
2412,-95,38,74,379,5,13,48,-18.579346
2412,-95,28,74,379,4,15,49,-16.283676
2412,-95,31,74,379,5,12,49,-20.705429
2412,-95,42,74,379,6,12,48,-12.293037
2412,-95,28,74,379,8,9,48,-16.065399
2412,-95,34,74,379,8,13,48,-6.898026
2412,-95,34,74,379,5,13,49,-inf
2412,-95,82,74,379,9,13,55,-inf
2412,-95,35,74,379,3,13,50,-16.890045
2412,-95,38,74,379,5,14,48,-13.481888
2412,-95,38,74,379,3,11,48,-inf
2412,-95,30,74,379,5,12,48,-inf
2412,-95,35,74,379,5,12,48,-9.313637
2412,-95,36,74,379,5,11,49,-14.956352
2412,-95,34,74,379,6,15,50,-14.836815
2412,-95,39,74,379,5,12,48,-12.011360
2412,-95,30,74,379,5,6,48,-9.366928
2412,-95,41,74,379,6,6,48,-17.765770
2412,-95,32,74,379,5,62,49,-20.185135
2412,-95,34,74,379,5,14,49,-14.800034
2412,-95,30,74,379,4,10,49,-21.646660
2412,-95,30,74,379,6,10,48,-8.607307
2412,-95,35,74,379,4,13,49,-11.272003
2412,-95,40,74,379,5,11,49,-13.497269
2412,-95,30,74,379,5,12,48,-19.533188
2412,-95,35,74,379,6,11,50,-14.942963
2412,-95,33,74,379,5,12,48,-14.407654
2412,-95,36,74,379,5,15,49,-13.603378
2412,-95,29,74,379,6,12,48,-12.372726
2412,-95,26,74,379,5,13,48,-13.721565
2417,-108,55,81,386,11,13,55,-4.230560
2417,-108,44,81,386,10,14,55,-12.595406
2417,-108,53,81,386,10,13,55,-5.455849
2417,-108,79,81,386,11,11,55,-7.850784
2417,-108,35,81,386,11,10,54,-10.034233
2417,-108,40,81,386,10,14,54,-6.724670
2417,-108,53,81,386,10,12,55,-6.002464
2417,-108,74,80,387,14,18,58,-13.976517
2417,-108,85,81,386,12,15,57,-14.068588
2417,-108,45,81,386,11,11,54,-2.127457
2417,-108,50,81,386,10,13,55,-5.117470
2417,-108,49,81,386,10,12,55,-8.072647
2417,-108,55,81,386,12,13,54,-3.569717
2417,-108,44,81,386,10,15,57,-11.662079
2417,-108,39,81,386,11,11,53,-3.569565
2417,-108,51,81,386,10,13,54,-14.035492
2417,-108,34,81,386,10,13,54,-6.862785
2417,-108,49,81,386,9,12,54,-9.423752
2417,-108,48,81,386,10,13,54,-20.867157
2417,-108,42,81,386,9,13,55,-6.846542
2417,-108,43,81,386,11,15,55,-11.848061
2417,-108,39,81,386,11,13,55,-21.322327
2417,-108,50,81,386,11,13,57,-6.533279
2417,-108,54,81,386,12,13,55,-4.466637
2417,-108,46,81,386,10,13,54,-21.379868
2417,-108,54,81,386,10,12,54,-9.392075
2417,-108,49,81,386,11,12,55,-5.489014
2417,-108,80,81,386,12,16,59,-10.298096
2417,-108,54,81,386,10,12,54,-15.000305
2417,-108,46,81,386,14,12,54,1.727173
2417,-108,40,81,386,12,12,54,-12.420876
2417,-108,45,81,386,10,13,55,-5.972076
2417,-108,43,81,386,10,13,54,-10.040527
2417,-108,101,77,390,15,14,56,0.808708
2417,-108,105,78,388,13,10,57,-1.990753
2417,-108,44,81,386,10,9,54,-2.733635
2417,-108,33,81,386,10,9,54,-8.539261
2417,-108,48,81,386,13,8,55,-3.323448
2417,-108,41,81,386,10,10,55,-16.981003
2417,-108,42,81,386,11,10,56,-8.104111
2417,-108,40,81,386,10,10,55,-13.005470
2417,-108,44,81,386,11,9,55,-20.731857
2417,-108,30,81,386,10,9,54,-21.392487
2417,-108,56,81,386,11,9,55,-11.413803
2417,-108,53,81,386,11,11,57,-2.224258
2417,-108,56,81,386,12,11,57,-5.176239
2417,-108,52,81,386,11,8,55,-20.351318
2417,-108,37,81,386,11,7,53,-3.158997
2417,-108,39,81,386,9,6,55,-11.191162
2417,-108,62,81,386,12,2,54,-3.665680
2417,-108,47,81,386,10,8,55,-23.003784
2417,-108,131,65,401,24,16,51,17.845757
2417,-108,127,65,402,25,13,52,16.480629
2417,-108,56,81,386,11,9,55,-4.348541
2417,-108,38,69,398,11,10,46,-inf
2417,-108,38,69,398,11,14,45,-7.920944
2417,-108,38,69,398,10,15,46,-4.393326
2417,-108,37,69,398,11,12,45,-7.808136
2417,-108,39,69,398,12,9,45,-2.353668
2417,-108,38,69,398,12,15,45,-8.170334
2417,-108,45,69,398,15,11,48,1.382721
2417,-108,43,69,398,11,10,44,-inf
2417,-108,37,69,398,12,11,45,-8.569046
2417,-108,38,69,397,11,9,44,-7.920944
2417,-108,41,74,392,12,14,52,-11.878349
2417,-108,32,69,398,11,10,45,-inf
2417,-108,36,74,392,12,15,49,-7.044449
2417,-108,34,74,392,11,15,50,-3.983109
2417,-108,34,69,397,11,10,45,-10.430145
2417,-108,34,69,397,11,13,44,-2.374596
2417,-108,38,74,393,11,11,47,-inf
2417,-108,36,74,393,10,14,49,-10.021660
2417,-108,28,74,393,11,14,49,-inf
2417,-108,30,74,393,10,13,48,-7.958801
2417,-108,34,74,393,12,13,49,-8.472748
2417,-108,35,74,393,11,11,50,-8.202393
2417,-108,33,74,393,11,8,49,-3.913612
2417,-108,21,74,393,11,13,49,-8.602325
2417,-108,99,74,393,16,16,53,-0.080505
2417,-108,84,74,393,16,7,53,1.704269
2417,-108,24,74,393,11,8,48,-2.349564
2417,-108,37,74,393,12,10,48,-3.563019
2417,-108,110,69,397,19,17,51,3.982559
2417,-108,36,69,397,10,12,45,-inf
2417,-108,31,69,397,11,9,43,-inf
2417,-108,33,69,397,11,14,45,-9.969101
2417,-108,33,74,392,11,14,49,-13.297523
2417,-108,38,74,392,11,12,49,-4.655853
2417,-108,42,74,393,12,16,50,-4.368217
2417,-108,32,69,397,10,11,44,-inf
2417,-108,37,69,398,11,10,44,-7.325089
2417,-108,37,69,397,11,12,43,-6.708519
2417,-108,44,74,392,11,4,49,-14.622925
2417,-108,36,74,392,12,8,48,-12.927605
2417,-108,29,74,392,10,12,48,-15.415794
2417,-108,50,74,393,10,13,50,-20.496063
2417,-108,31,69,397,10,14,44,-8.325089
2417,-108,34,69,397,11,12,44,-1.900345
2417,-108,38,69,398,13,14,45,-7.569046
2417,-108,32,74,392,11,7,48,-inf
2417,-108,26,74,392,11,12,47,-6.222229
2417,-108,28,74,393,11,15,48,-12.729118
2417,-108,35,74,393,13,17,51,-10.664230
2417,-108,33,74,393,9,12,50,-8.132103
2417,-108,37,74,393,10,12,48,-inf
2417,-108,35,74,393,17,16,56,-inf
2417,-108,26,74,393,16,14,56,-5.496040
2417,-108,32,69,397,17,14,51,-6.206657
2417,-108,36,69,397,17,11,51,-1.492142
2417,-108,105,69,397,11,58,45,-inf
2417,-108,27,74,393,12,15,49,-8.242805
2417,-108,122,57,409,37,15,48,34.269989
2417,-108,110,57,409,37,9,51,32.228790
2417,-108,93,73,394,17,12,54,6.370422
2417,-108,45,81,386,13,13,55,-9.110016
2417,-108,45,81,386,12,14,56,-3.736763
2417,-108,66,81,386,11,13,55,-16.623032
2417,-108,36,81,386,12,13,54,-10.281723
2417,-108,49,81,386,11,11,54,-1.893387
2417,-108,38,81,386,12,12,54,-2.056702
2417,-108,41,81,386,11,15,55,-3.913612
2417,-108,52,81,386,11,12,56,0.445358
2417,-108,38,81,386,12,12,54,-13.381340
2417,-108,44,81,386,10,12,54,-8.037300
2417,-108,41,81,386,10,11,55,-8.226913
2417,-108,37,81,386,10,6,54,-4.287292
2417,-108,73,81,386,11,9,57,-12.424225
2417,-108,105,79,388,13,17,58,-12.142525
2417,-108,66,81,386,13,15,56,-4.807495
2417,-108,44,81,386,11,12,55,-1.826859
2417,-108,45,81,386,9,12,55,-4.137360
2417,-108,32,81,386,11,8,54,-10.128281
2417,-108,43,81,386,9,11,54,-15.650108
2417,-108,72,81,386,11,13,56,-9.777313
2417,-108,67,81,386,12,13,55,-15.389786
2417,-108,59,81,386,10,13,55,-10.856918
2417,-108,37,81,386,12,14,55,-3.206573
2417,-108,46,81,386,11,11,54,-inf
2417,-108,40,81,386,10,12,56,-7.688019
2417,-108,41,81,386,11,13,54,-10.398788
2417,-108,43,81,386,10,14,55,-10.361801
2417,-108,79,79,387,14,14,56,-3.126495
2417,-108,92,80,386,13,14,56,-17.161972
2417,-108,45,81,386,9,11,54,-7.676392
2417,-108,52,81,386,12,12,54,-7.518234
2417,-108,41,81,386,12,15,55,-19.664299
2417,-108,58,81,386,11,14,56,-10.697113
